nama_lengkap,nama_panggilan,tempat_tanggal_lahir,generasi,salam_perkenalan,,,,,
Catherina Vallencia Kurniawan,Erine,"Bekasi, Jawa Barat, Indonesia, 21 Agustus 2007 (16 tahun)",12,"Hanya dengan seribu kejutan, checkmate! Siap memenangkan hatimu! Halo semuanya namaku Erine!",18 November 2023 (41 hari),Belum pernah,Cavallery,"IG: @jkt48.erine
TT: @jkt48.erine_
X: @CErine_JKT48",
Cathleen Hana Nixie,Cathy,"Surabaya, Jawa Timur, Indonesia, 28 Mei 2009 (14 tahun)",11,"Tring! Si peri cantik jelita, itulah aku! Hai semuanya, namaku Cathy!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Cathleennexus,"@: @jkt48.cathy
IDN: Cathy JKT48
IG: @jkt48.cathy
SR: Cathy / ???? (JKT48)
TT: @cathyjkt48
X: @N_CathyJKT48",
Celline Thefannie,Elin,"Tangerang, Banten, Indonesia, 9 April 2007 (16 tahun)",11,"Semanis permen kapas dan seindah bunga lavender. Hola, perkenalkan namaku Elin.","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Cellineyours,"@: @jkt48.elin_
IDN: Elin JKT48
IG: @jkt48.elin_
SR: Elin / ??? (JKT48)
TT: @elinjkt48
X: @Elin_JKT48",
Chelsea Davina Norman,Chelsea,"Sydney, Australia, 23 Desember 2009 (14 tahun)",11,"As bright as a shooting star in the starry night sky. Hai semua, aku Chelsea!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Chelsealand,"@: @jkt48.chelsea.d
IDN: Chelsea JKT48
IG: @jkt48.chelsea.d
SR: Chelsea / ????? (JKT48)
TT: @_chelseajkt48
X: @DC_ChelseaJKT48",
Cynthia Yaputera,"Cynthia, Ciput","Jakarta, Indonesia, 22 November 2003 (20 tahun)",11,"Semangatku terus-menerus meluap, pop-pop! Halo aku Cynthia yang selalu semangat!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Cynthiaction,"@: @jkt48.cynthia
IDN: Cynthia JKT48
IG: @jkt48.cynthia
SR: Cynthia / ????? (JKT48)
TT: @cynthiajkt48
X: @Y_CynthiaJKT48",
Dena Natalia,"Danella, Dena","Bekasi, Jawa Barat, Indonesia, 16 Desember 2005 (18 tahun)",11,"Tok tok! Siapa? Si penari yang akan menarikmu ke duniaku. Hai, aku Danella.","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Denalize,"@: @jkt48.danella
IDN: Danella JKT48
IG: @jkt48.danella
SR: Danella / ??? (JKT48)
TT: @danellajkt48
X: @Danella_JKT48",
Desy Natalia,"Daisy, Desy","Bekasi, Jawa Barat, Indonesia, 16 Desember 2005 (18 tahun)",11,"Seperti bunga daisy, aku akan memancarkan kesegaran dan kebahagiaan! Hai hai, aku Daisy.","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Daisynateur,"@: @jkt48.daisy
IDN: Daisy JKT48
IG: @jkt48.daisy
SR: Daisy / ???? (JKT48)
TT: @daisyjkt48
X: @Daisy_JKT48",
Fritzy Rosmerian,Fritzy,"Jakarta, Indonesia, 28 Juli 2008 (15 tahun)",12,"Abrakadabra! Si pesulap yang siap membuat hatimu terpikat. Halo semuanya, it's me Fritzy.",18 November 2023 (41 hari),Belum pernah,Itzyraise,"IG: @jkt48.fritzy.r
TT: @jkt48.fritzy
X: @RFritzy_JKT48",
Gendis Mayrannisa Setiawan,Gendis,"Jakarta, Indonesia, 23 Juni 2010 (13 tahun)",11,"Bonjour! Periang dan pencair suasana, itulah aku. Halo semuanya, aku Gendis!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Gendiscious,"@: @jkt48.gendis
IDN: Gendis JKT48
IG: @jkt48.gendis
SR: Gendis / ????? (JKT48)
TT: @gendisjkt48
X: @Gendis_JKT48",
Grace Octaviani Tanujaya,Gracie,"Tangerang, Banten, Indonesia, 18 Oktober 2007 (16 tahun)",11,"Manis seperti gulali, imut seperti kelinci. Cie cie cie Gracie!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Gracyluv,"@: @jkt48.gracie
IDN: Gracie JKT48
IG: @jkt48.gracie
SR: Gracie / ???? (JKT48)
TT: @graciejkt48
X: @Gracie_JKT48",
